Wed Jun  1 19:58:28 2022    hell/87ee9e9d-3045-4347-be69-451e25a12ac5.prof

         44700 function calls (44262 primitive calls) in 0.785 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.317    0.053    0.317    0.053 {built-in method builtins.pow}
       48    0.078    0.002    0.078    0.002 {method 'read' of '_ssl._SSLSocket' objects}
       69    0.063    0.001    0.063    0.001 {method 'poll' of 'select.epoll' objects}
        1    0.054    0.054    0.054    0.054 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
        3    0.023    0.008    0.023    0.008 {built-in method ujson.loads}
        1    0.018    0.018    0.018    0.018 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        3    0.017    0.006    0.017    0.006 {built-in method _thread.start_new_thread}
       83    0.017    0.000    0.017    0.000 {method 'search' of 're.Pattern' objects}
        1    0.017    0.017    0.017    0.017 {built-in method _socket.getaddrinfo}
     90/6    0.016    0.000    0.017    0.003 /opt/python/botocore/serialize.py:359(_serialize)
        3    0.016    0.005    0.016    0.005 /opt/python/botocore/signers.py:357(build_policy)
       12    0.014    0.001    0.014    0.001 {method 'do_handshake' of '_ssl._SSLSocket' objects}
       12    0.013    0.001    0.013    0.001 /opt/python/botocore/awsrequest.py:383(_prepare_body)
     1776    0.013    0.000    0.013    0.000 /var/lang/lib/python3.7/unittest/mock.py:1965(__init__)
        3    0.012    0.004    0.553    0.184 /var/lang/lib/python3.7/asyncio/base_events.py:551(run_until_complete)
        6    0.008    0.001    0.009    0.001 /var/lang/lib/python3.7/http/client.py:968(send)
        6    0.008    0.001    0.017    0.003 /opt/python/botocore/awsrequest.py:110(_send_output)
        6    0.005    0.001    0.005    0.001 /opt/python/rsa/common.py:105(extended_gcd)
       15    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
       48    0.002    0.000    0.016    0.000 /var/lang/lib/python3.7/unittest/mock.py:1906(_mock_set_magics)
       72    0.002    0.000    0.002    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      452    0.001    0.000    0.002    0.000 {method 'sub' of 're.Pattern' objects}
        3    0.001    0.000    0.001    0.000 /opt/python/rsa/prime.py:27(gcd)
        1    0.001    0.001    0.001    0.001 {built-in method ujson.load}
1944/1943    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
       30    0.001    0.000    0.001    0.000 /var/lang/lib/python3.7/unittest/mock.py:381(__new__)
3549/3546    0.001    0.000    0.002    0.000 {built-in method builtins.isinstance}
       69    0.001    0.000    0.541    0.008 /var/lang/lib/python3.7/asyncio/base_events.py:1690(_run_once)
        4    0.001    0.000    0.001    0.000 {method 'connect' of '_socket.socket' objects}
       30    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
       69    0.001    0.000    0.063    0.001 /var/lang/lib/python3.7/selectors.py:451(select)
       54    0.001    0.000    0.003    0.000 /var/lang/lib/python3.7/unittest/mock.py:1019(_mock_call)
       31    0.001    0.000    0.001    0.000 {method 'recv' of '_socket.socket' objects}
     1447    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        5    0.001    0.000    0.216    0.043 /opt/python/rewards/models.py:213(get_rewards_definition)
       15    0.001    0.000    0.003    0.000 /var/lang/lib/python3.7/inspect.py:316(getmembers)
        9    0.001    0.000    0.001    0.000 {method 'write' of '_ssl._SSLSocket' objects}
