Wed Jun  1 19:11:00 2022    hell/123.prof

         51934 function calls (51370 primitive calls) in 1.124 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       76    0.340    0.004    0.340    0.004 {method 'poll' of 'select.epoll' objects}
        6    0.317    0.053    0.317    0.053 {built-in method builtins.pow}
       59    0.146    0.002    0.146    0.002 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.042    0.042    0.042    0.042 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
       14    0.027    0.002    0.027    0.002 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        2    0.026    0.013    0.026    0.013 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        3    0.023    0.008    0.023    0.008 {built-in method ujson.loads}
        2    0.023    0.011    0.023    0.011 {built-in method _socket.getaddrinfo}
        3    0.016    0.005    0.016    0.005 /opt/python/aiohttp/cookiejar.py:96(__iter__)
       70    0.014    0.000    0.014    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       12    0.013    0.001    0.013    0.001 {method 'send' of '_socket.socket' objects}
      163    0.012    0.000    0.013    0.000 /opt/python/botocore/model.py:602(get_shape_by_name)
        1    0.012    0.012    0.054    0.054 /var/lang/lib/python3.7/ssl.py:562(create_default_context)
      452    0.009    0.000    0.010    0.000 {method 'sub' of 're.Pattern' objects}
       48    0.006    0.000    0.012    0.000 /var/lang/lib/python3.7/unittest/mock.py:1906(_mock_set_magics)
       95    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
     1776    0.005    0.000    0.005    0.000 /var/lang/lib/python3.7/unittest/mock.py:1965(__init__)
        6    0.005    0.001    0.005    0.001 /opt/python/rsa/common.py:105(extended_gcd)
       54    0.004    0.000    0.012    0.000 /var/lang/lib/python3.7/unittest/mock.py:1012(__call__)
        5    0.003    0.001    0.003    0.001 {method 'connect' of '_socket.socket' objects}
       15    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
        3    0.001    0.000    0.001    0.000 /opt/python/rsa/prime.py:27(gcd)
     1950    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.001    0.001    0.001    0.001 {built-in method ujson.load}
3904/3901    0.001    0.000    0.002    0.000 {built-in method builtins.isinstance}
       76    0.001    0.000    0.801    0.011 /var/lang/lib/python3.7/asyncio/base_events.py:1690(_run_once)
       46    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
       30    0.001    0.000    0.001    0.000 /var/lang/lib/python3.7/unittest/mock.py:381(__new__)
       36    0.001    0.000    0.001    0.000 {method 'recv' of '_socket.socket' objects}
     1537    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       54    0.001    0.000    0.007    0.000 /var/lang/lib/python3.7/unittest/mock.py:1019(_mock_call)
        5    0.001    0.000    0.354    0.071 /opt/python/rewards/models.py:213(get_rewards_definition)
       76    0.001    0.000    0.341    0.004 /var/lang/lib/python3.7/selectors.py:451(select)
       15    0.001    0.000    0.003    0.000 /var/lang/lib/python3.7/inspect.py:316(getmembers)
       10    0.001    0.000    0.001    0.000 /opt/python/botocore/hooks.py:390(_alias_event_name)
       10    0.001    0.000    0.001    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       35    0.001    0.000    0.001    0.000 /var/lang/lib/python3.7/logging/__init__.py:282(__init__)
       34    0.001    0.000    0.005    0.000 /var/lang/lib/python3.7/asyncio/sslproto.py:157(feed_ssldata)
        2    0.000    0.000    0.006    0.003 /opt/python/chardet/__init__.py:27(detect)
        2    0.000    0.000    0.005    0.003 /opt/python/chardet/universaldetector.py:111(feed)
       82    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/json/encoder.py:204(iterencode)
     1728    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      215    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       29    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:393(create_future)
       30    0.000    0.000    0.001    0.000 {method 'feed_data' of 'aiohttp._http_parser.HttpParser' objects}
     30/3    0.000    0.000    0.001    0.000 /opt/python/pyasn1/codec/ber/decoder.py:1307(__call__)
  264/222    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/unittest/mock.py:703(__setattr__)
      238    0.000    0.000    0.001    0.000 /opt/python/pynamodb/attributes.py:69(__get__)
      930    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      453    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/re.py:273(_compile)
        5    0.000    0.000    0.000    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
      108    0.000    0.000    0.458    0.004 {method 'run' of 'Context' objects}
      226    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/sre_parse.py:1030(expand_template)
      452    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/re.py:309(_subx)
      116    0.000    0.000    0.002    0.000 {method 'join' of 'bytes' objects}
        7    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/http/client.py:454(read)
       15    0.000    0.000    0.075    0.005 /opt/python/aiohttp/client.py:345(_request)
      163    0.000    0.000    0.000    0.000 /opt/python/botocore/model.py:61(__init__)
       52    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/urllib/parse.py:420(urlsplit)
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
