Wed Jun  1 19:58:27 2022    hell/764cff94-cb38-4084-930a-38b345d600cf.prof

         44865 function calls (44427 primitive calls) in 0.714 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.329    0.055    0.329    0.055 {built-in method builtins.pow}
       49    0.090    0.002    0.090    0.002 {method 'read' of '_ssl._SSLSocket' objects}
       73    0.081    0.001    0.081    0.001 {method 'poll' of 'select.epoll' objects}
        1    0.041    0.041    0.041    0.041 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
        1    0.037    0.037    0.037    0.037 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        3    0.018    0.006    0.018    0.006 {built-in method ujson.loads}
        6    0.016    0.003    0.016    0.003 /var/lang/lib/python3.7/urllib/parse.py:153(password)
       48    0.014    0.000    0.016    0.000 /var/lang/lib/python3.7/unittest/mock.py:1906(_mock_set_magics)
       13    0.008    0.001    0.008    0.001 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        6    0.005    0.001    0.005    0.001 /opt/python/rsa/common.py:105(extended_gcd)
       83    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
       15    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
        1    0.002    0.002    0.002    0.002 {built-in method _socket.getaddrinfo}
      452    0.001    0.000    0.002    0.000 {method 'sub' of 're.Pattern' objects}
        3    0.001    0.000    0.001    0.000 /opt/python/rsa/prime.py:27(gcd)
1944/1943    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
        1    0.001    0.001    0.001    0.001 {built-in method ujson.load}
       30    0.001    0.000    0.001    0.000 /var/lang/lib/python3.7/unittest/mock.py:381(__new__)
        4    0.001    0.000    0.001    0.000 {method 'connect' of '_socket.socket' objects}
3551/3548    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       73    0.001    0.000    0.521    0.007 /var/lang/lib/python3.7/asyncio/base_events.py:1690(_run_once)
     1776    0.001    0.000    0.001    0.000 /var/lang/lib/python3.7/unittest/mock.py:1965(__init__)
       72    0.001    0.000    0.001    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
     1448    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       15    0.001    0.000    0.003    0.000 /var/lang/lib/python3.7/inspect.py:316(getmembers)
       54    0.001    0.000    0.003    0.000 /var/lang/lib/python3.7/unittest/mock.py:1019(_mock_call)
       32    0.001    0.000    0.001    0.000 {method 'recv' of '_socket.socket' objects}
