Wed Jun  1 19:58:25 2022    hell/14704d94-cd00-47a4-b0db-183a60192de1.prof

         45158 function calls (44720 primitive calls) in 0.777 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.309    0.051    0.309    0.051 {built-in method builtins.pow}
       55    0.072    0.001    0.072    0.001 {method 'read' of '_ssl._SSLSocket' objects}
       80    0.070    0.001    0.070    0.001 {method 'poll' of 'select.epoll' objects}
        1    0.040    0.040    0.040    0.040 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
        1    0.037    0.037    0.037    0.037 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        3    0.029    0.010    0.029    0.010 {built-in method _thread.start_new_thread}
       13    0.027    0.002    0.027    0.002 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        6    0.025    0.004    0.025    0.004 /opt/python/rsa/common.py:105(extended_gcd)
        3    0.018    0.006    0.018    0.006 {built-in method ujson.loads}
       30    0.017    0.001    0.017    0.001 /var/lang/lib/python3.7/unittest/mock.py:381(__new__)
        1    0.016    0.016    0.582    0.582 /opt/python/rewards/reward_redeemer.py:243(redeem_rewards_for_player)
       18    0.012    0.001    0.013    0.001 /opt/python/botocore/awsrequest.py:600(__init__)
       72    0.009    0.000    0.009    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       90    0.008    0.000    0.008    0.000 /var/lang/lib/python3.7/urllib/parse.py:415(_remove_unsafe_bytes_from_url)
       83    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
       54    0.005    0.000    0.007    0.000 /var/lang/lib/python3.7/unittest/mock.py:1019(_mock_call)
  264/222    0.005    0.000    0.005    0.000 /var/lang/lib/python3.7/unittest/mock.py:703(__setattr__)
        1    0.002    0.002    0.002    0.002 {built-in method _socket.getaddrinfo}
       15    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
       48    0.001    0.000    0.003    0.000 /var/lang/lib/python3.7/unittest/mock.py:1906(_mock_set_magics)
      452    0.001    0.000    0.002    0.000 {method 'sub' of 're.Pattern' objects}
        3    0.001    0.000    0.001    0.000 /opt/python/rsa/prime.py:27(gcd)
1944/1943    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
        1    0.001    0.001    0.001    0.001 {built-in method ujson.load}
3570/3567    0.001    0.000    0.002    0.000 {built-in method builtins.isinstance}
       80    0.001    0.000    0.524    0.007 /var/lang/lib/python3.7/asyncio/base_events.py:1690(_run_once)
     1776    0.001    0.000    0.001    0.000 /var/lang/lib/python3.7/unittest/mock.py:1965(__init__)
       40    0.001    0.000    0.001    0.000 {method 'recv' of '_socket.socket' objects}
     1456    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       15    0.001    0.000    0.003    0.000 /var/lang/lib/python3.7/inspect.py:316(getmembers)
        3    0.001    0.000    0.001    0.000 /opt/python/aiohttp/connector.py:407(_close)
       80    0.001    0.000    0.070    0.001 /var/lang/lib/python3.7/selectors.py:451(select)
        5    0.001    0.000    0.205    0.041 /opt/python/rewards/models.py:213(get_rewards_definition)
       12    0.001    0.000    0.001    0.000 {method 'send' of '_socket.socket' objects}
       36    0.001    0.000    0.001    0.000 /var/lang/lib/python3.7/logging/__init__.py:282(__init__)
        3    0.001    0.000    0.030    0.010 /var/lang/lib/python3.7/threading.py:834(start)
        9    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        4    0.000    0.000    0.000    0.000 {method 'connect' of '_socket.socket' objects}
       37    0.000    0.000    0.005    0.000 /var/lang/lib/python3.7/asyncio/sslproto.py:157(feed_ssldata)
       13    0.000    0.000    0.000    0.000 {built-in method now}
        3    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/asyncio/selector_events.py:697(_call_connection_lost)
        2    0.000    0.000    0.005    0.003 /opt/python/chardet/universaldetector.py:111(feed)
        2    0.000    0.000    0.006    0.003 /opt/python/chardet/__init__.py:27(detect)
      112    0.000    0.000    0.452    0.004 {method 'run' of 'Context' objects}
       42    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/json/encoder.py:204(iterencode)
      226    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/sre_parse.py:1030(expand_template)
