Wed Jun  1 19:58:30 2022    hell/e22a8422-eacf-40b9-9d93-cc9ca8f614b4.prof

         58324 function calls (57579 primitive calls) in 1.009 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       46    0.438    0.010    0.438    0.010 {method 'acquire' of '_thread.lock' objects}
       35    0.137    0.004    0.137    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        2    0.103    0.051    0.103    0.051 {built-in method builtins.pow}
        2    0.055    0.027    0.055    0.027 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        6    0.028    0.005    0.028    0.005 {method 'do_handshake' of '_ssl._SSLSocket' objects}
       31    0.022    0.001    0.022    0.001 {method 'poll' of 'select.epoll' objects}
       92    0.016    0.000    0.016    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       12    0.016    0.001    0.016    0.001 /opt/python/pynamodb/connection/base.py:95(hash_keyname)
        3    0.013    0.004    0.013    0.004 {built-in method _thread.start_new_thread}
      3/2    0.013    0.004    0.013    0.007 /opt/python/game_definition.py:178(get_default_dependencies)
       94    0.012    0.000    0.012    0.000 {method 'search' of 're.Pattern' objects}
        1    0.012    0.012    0.031    0.031 /opt/python/shop.py:514(get_or_init)
        1    0.011    0.011    0.011    0.011 /opt/python/aiohttp/client.py:194(__init__)
     1921    0.010    0.000    0.011    0.000 {built-in method builtins.getattr}
        1    0.010    0.010    0.010    0.010 {built-in method ujson.load}
       54    0.009    0.000    0.011    0.000 /var/lang/lib/python3.7/unittest/mock.py:1019(_mock_call)
       15    0.008    0.001    0.008    0.001 /var/lang/lib/python3.7/unittest/mock.py:1262(get_original)
      325    0.008    0.000    0.008    0.000 {method 'items' of 'dict' objects}
        1    0.004    0.004    0.004    0.004 {built-in method ujson.loads}
        2    0.003    0.002    0.003    0.002 {built-in method _socket.getaddrinfo}
     1776    0.002    0.000    0.002    0.000 /var/lang/lib/python3.7/unittest/mock.py:1965(__init__)
        3    0.002    0.001    0.002    0.001 {method 'connect' of '_socket.socket' objects}
      580    0.002    0.000    0.003    0.000 {method 'sub' of 're.Pattern' objects}
        2    0.002    0.001    0.002    0.001 /opt/python/rsa/common.py:105(extended_gcd)
       48    0.001    0.000    0.005    0.000 /var/lang/lib/python3.7/unittest/mock.py:1906(_mock_set_magics)
5087/5086    0.001    0.000    0.002    0.000 {built-in method builtins.isinstance}
      363    0.001    0.000    0.001    0.000 /var/lang/lib/python3.7/json/encoder.py:204(iterencode)
