Wed Jun  1 19:58:32 2022    hell/eb6c5c60-4e2f-428a-8abe-22e1f3a6654b.prof

         45141 function calls (44703 primitive calls) in 0.751 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.319    0.053    0.319    0.053 {built-in method builtins.pow}
       83    0.069    0.001    0.069    0.001 {method 'poll' of 'select.epoll' objects}
        1    0.056    0.056    0.056    0.056 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
       52    0.055    0.001    0.055    0.001 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.034    0.034    0.034    0.034 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        3    0.032    0.011    0.032    0.011 {built-in method ujson.loads}
        6    0.030    0.005    0.030    0.005 /opt/python/rsa/common.py:105(extended_gcd)
      162    0.016    0.000    0.016    0.000 /var/lang/lib/python3.7/unittest/mock.py:304(_set)
        6    0.016    0.003    0.016    0.003 /opt/python/botocore/auth.py:289(_should_sha256_sign_payload)
        3    0.014    0.005    0.014    0.005 {built-in method _thread.start_new_thread}
3559/3556    0.011    0.000    0.011    0.000 {built-in method builtins.isinstance}
        6    0.008    0.001    0.008    0.001 {method 'poll' of 'select.poll' objects}
       13    0.008    0.001    0.008    0.001 {method 'do_handshake' of '_ssl._SSLSocket' objects}
       83    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
        1    0.002    0.002    0.002    0.002 {built-in method _socket.getaddrinfo}
       15    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
       48    0.002    0.000    0.004    0.000 /var/lang/lib/python3.7/unittest/mock.py:1906(_mock_set_magics)
        3    0.001    0.000    0.001    0.000 /opt/python/rsa/prime.py:27(gcd)
      452    0.001    0.000    0.002    0.000 {method 'sub' of 're.Pattern' objects}
1944/1943    0.001    0.000    0.011    0.000 {built-in method builtins.setattr}
        1    0.001    0.001    0.001    0.001 {built-in method ujson.load}
       30    0.001    0.000    0.001    0.000 /var/lang/lib/python3.7/unittest/mock.py:381(__new__)
       83    0.001    0.000    0.553    0.007 /var/lang/lib/python3.7/asyncio/base_events.py:1690(_run_once)
     1776    0.001    0.000    0.001    0.000 /var/lang/lib/python3.7/unittest/mock.py:1965(__init__)
     1452    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       72    0.001    0.000    0.001    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       54    0.001    0.000    0.019    0.000 /var/lang/lib/python3.7/unittest/mock.py:1019(_mock_call)
       36    0.001    0.000    0.001    0.000 {method 'recv' of '_socket.socket' objects}
