Wed Jun  1 20:12:41 2022    hell/b577a3cf-0f4f-401a-9855-10bb4368bf56.prof

         27508 function calls (27290 primitive calls) in 0.115 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.040    0.007    0.040    0.007 {method 'read' of '_ssl._SSLSocket' objects}
       48    0.022    0.000    0.023    0.000 /var/lang/lib/python3.7/unittest/mock.py:1906(_mock_set_magics)
      234    0.016    0.000    0.016    0.000 {built-in method builtins.hash}
        6    0.004    0.001    0.004    0.001 /var/lang/lib/python3.7/http/client.py:249(__init__)
1934/1933    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
       30    0.001    0.000    0.001    0.000 /var/lang/lib/python3.7/unittest/mock.py:381(__new__)
       54    0.001    0.000    0.003    0.000 /var/lang/lib/python3.7/unittest/mock.py:1019(_mock_call)
        6    0.001    0.000    0.001    0.000 {method 'write' of '_ssl._SSLSocket' objects}
     1776    0.001    0.000    0.001    0.000 /var/lang/lib/python3.7/unittest/mock.py:1965(__init__)
       48    0.001    0.000    0.001    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      144    0.000    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
     1766    0.000    0.000    0.001    0.000 {built-in method builtins.isinstance}
       24    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/logging/__init__.py:282(__init__)
        5    0.000    0.000    0.001    0.000 /opt/python/rewards/models.py:213(get_rewards_definition)
      133    0.000    0.000    0.001    0.000 /opt/python/pynamodb/attributes.py:69(__get__)
      587    0.000    0.000    0.001    0.000 {built-in method builtins.getattr}
  264/222    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/unittest/mock.py:703(__setattr__)
        6    0.000    0.000    0.104    0.017 /opt/python/pynamodb_patch.py:115(_make_api_call)
      150    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:2040(__new__)
        6    0.000    0.000    0.077    0.013 /opt/python/pynamodb/connection/base.py:360(_make_api_call)
       39    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/json/encoder.py:204(iterencode)
       13    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
       30    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/unittest/mock.py:994(__init__)
        5    0.000    0.000    0.001    0.000 /opt/python/pynamodb/models.py:497(from_raw_data)
       54    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/http/client.py:1237(putheader)
      890    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      234    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:581(__init__)
        6    0.000    0.000    0.065    0.011 /opt/python/urllib3/connectionpool.py:356(_make_request)
     1398    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      156    0.000    0.000    0.001    0.000 /opt/python/botocore/awsrequest.py:604(__setitem__)
    72/54    0.000    0.000    0.024    0.000 /var/lang/lib/python3.7/unittest/mock.py:594(__getattr__)
      146    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        6    0.000    0.000    0.040    0.007 /var/lang/lib/python3.7/http/client.py:279(_read_status)
      306    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/_policybase.py:281(_sanitize_header)
        6    0.000    0.000    0.067    0.011 /opt/python/urllib3/connectionpool.py:499(urlopen)
       30    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:390(__init__)
        6    0.000    0.000    0.070    0.012 /opt/python/botocore/httpsession.py:306(send)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/socket.py:221(makefile)
       78    0.000    0.000    0.016    0.000 /opt/python/botocore/awsrequest.py:607(__getitem__)
       24    0.000    0.000    0.024    0.001 /var/lang/lib/python3.7/unittest/mock.py:1900(__init__)
      493    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       30    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/hmac.py:33(__init__)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/http/client.py:1081(putrequest)
        4    0.000    0.000    0.001    0.000 /opt/python/pynamodb/models.py:1080(_serialize)
      132    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:393(__setitem__)
       26    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/json/decoder.py:343(raw_decode)
       18    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/_collections_abc.py:824(update)
        7    0.000    0.000    0.001    0.000 /opt/python/pynamodb/models.py:837(_get_schema)
       42    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/urllib/parse.py:420(urlsplit)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/feedparser.py:471(_parse_headers)
       12    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/email/feedparser.py:218(_parsegen)
        6    0.000    0.000    0.042    0.007 /var/lang/lib/python3.7/http/client.py:312(begin)
       24    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:360(getMessage)
        6    0.000    0.000    0.000    0.000 /opt/python/urllib3/connectionpool.py:970(_validate_conn)
       72    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:64(__set__)
      313    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        6    0.000    0.000    0.000    0.000 /opt/python/urllib3/poolmanager.py:74(_default_key_normalizer)
       54    0.000    0.000    0.040    0.001 {method 'readline' of '_io.BufferedReader' objects}
     25/6    0.000    0.000    0.000    0.000 /opt/python/botocore/serialize.py:364(_serialize_type_structure)
        6    0.000    0.000    0.000    0.000 /opt/python/botocore/auth.py:238(canonical_headers)
      306    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/email/_policybase.py:311(header_fetch_parse)
      144    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/re.py:309(_subx)
      475    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:56(attr_name)
       24    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:1446(findCaller)
     90/6    0.000    0.000    0.000    0.000 /opt/python/botocore/serialize.py:359(_serialize)
      144    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/re.py:273(_compile)
        6    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/http/client.py:1283(_send_request)
       36    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:459(<listcomp>)
        6    0.000    0.000    0.106    0.018 /opt/python/pynamodb/connection/base.py:323(dispatch)
       54    0.000    0.000    0.003    0.000 /var/lang/lib/python3.7/unittest/mock.py:1012(__call__)
        7    0.000    0.000    0.002    0.000 /opt/python/pynamodb_patch.py:182(_get_connection)
        6    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:933(_fast_parse_utc_datestring)
        6    0.000    0.000    0.001    0.000 /opt/python/urllib3/util/url.py:330(parse_url)
      772    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        6    0.000    0.000    0.001    0.000 /opt/python/botocore/serialize.py:334(serialize_to_request)
       24    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/logging/__init__.py:595(format)
        6    0.000    0.000    0.003    0.001 /opt/python/botocore/auth.py:355(add_auth)
  343/313    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       78    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.114    0.114 /var/task/main_v1.py:25(handle)
       24    0.000    0.000    0.000    0.000 {built-in method time.gmtime}
       64    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/sre_parse.py:1030(expand_template)
       12    0.000    0.000    0.001    0.000 /opt/python/botocore/auth.py:172(headers_to_sign)
       54    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:462(get)
      144    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/re.py:187(sub)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/feedparser.py:139(__init__)
       24    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:421(format)
       13    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:1286(__enter__)
        6    0.000    0.000    0.004    0.001 /opt/python/pynamodb_patch.py:94(_create_prepared_request)
       18    0.000    0.000    0.000    0.000 /opt/python/urllib3/util/url.py:210(_encode_invalid_chars)
        6    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/http/client.py:225(parse_headers)
       72    0.000    0.000    0.001    0.000 /opt/python/pynamodb/connection/util.py:7(pythonic)
       39    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/json/encoder.py:182(encode)
      276    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/utils.py:51(_has_surrogates)
       84    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/urllib/parse.py:415(_remove_unsafe_bytes_from_url)
       24    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/logging/__init__.py:1570(callHandlers)
      145    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        6    0.000    0.000    0.000    0.000 /opt/python/pynamodb/connection/base.py:470(_handle_binary_attributes)
       48    0.000    0.000    0.016    0.000 /var/lang/lib/python3.7/_collections_abc.py:657(get)
      205    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:80(_is_map_attribute_class_object)
      234    0.000    0.000    0.016    0.000 /opt/python/botocore/awsrequest.py:585(__hash__)
